best_metric.mean,best_metric.std,mode,n_seeds,primary_metric,session_name,session_root,task,task_name,val.acc1.mean,val.acc1.std,val.acc3.mean,val.acc3.std,val.det_acc.mean,val.det_acc.std,val.f1_macro.mean,val.f1_macro.std,val.loss.mean,val.loss.std,val.mean_distance_error.mean,val.mean_distance_error.std,val.mean_error.mean,val.mean_error.std,val.median_distance_error.mean,val.median_distance_error.std,val.median_error.mean,val.median_error.std,val.mod_acc.mean,val.mod_acc.std,val.p75_distance_error.mean,val.p75_distance_error.std,val.p75_error.mean,val.p75_error.std,val.p90_distance_error.mean,val.p90_distance_error.std,val.p90_error.mean,val.p90_error.std,val.pca.mean,val.pca.std,val.sig_acc.mean,val.sig_acc.std,val.stdev_distance_error.mean,val.stdev_distance_error.std,val.stdev_error.mean,val.stdev_error.std
94.13448079427083,1.7361685609434936,lp,3,pca,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,sensing,Human Activity Sensing,94.0277837117513,1.873712859247836,100.00000762939453,0.0,,,,,0.6047960122426351,0.019896520202882496,,,,,,,,,,,,,,,,,,,94.13448079427083,1.7361685609434936,,,,,,
98.5990727742513,0.15122514506827398,ft2,3,pca,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,sensing,Human Activity Sensing,98.61111704508464,0.19642094801697849,100.00000762939453,0.0,,,,,0.4636659820874532,0.0069139518836420066,,,,,,,,,,,,,,,,,,,98.5990727742513,0.15122514506827398,,,,,,
98.70325978597005,0.31184761340990114,lora,3,pca,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,sensing,Human Activity Sensing,98.75000508626302,0.34020794695373,100.00000762939453,0.0,,,,,0.4578963915506999,0.006765777136212351,,,,,,,,,,,,,,,,,,,98.70325978597005,0.31184761340990114,,,,,,
3.1389922300974527,0.035674027249740684,lp,3,mean_error,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,pos,5G NR Positioning,,,,,,,,,0.004476999769014003,0.0001105919798947351,3.1389922300974527,0.035674027249740684,3.1389922300974527,0.035674027249740684,2.735057274500529,0.05701048422321136,2.735057274500529,0.05701048422321136,,,4.134498914082845,0.030164038742473965,4.134498914082845,0.030164038742473965,5.7983730634053545,0.09209635260628415,5.7983730634053545,0.09209635260628415,,,,,1.9850457906723022,0.03855242438485992,1.9850457906723022,0.03855242438485992
1.259975830713908,0.08362600578326013,ft2,3,mean_error,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,pos,5G NR Positioning,,,,,,,,,0.0009358157504159676,0.00011153445894788666,1.259975830713908,0.08362600578326013,1.259975830713908,0.08362600578326013,0.8435623248418173,0.06105887594003378,0.8435623248418173,0.06105887594003378,,,1.6332170565923054,0.10536105893573336,1.6332170565923054,0.10536105893573336,2.7945824464162192,0.20712802459878432,2.7945824464162192,0.20712802459878432,,,,,1.2148290077845256,0.052969092987957475,1.2148290077845256,0.052969092987957475
1.5050981044769287,0.06843809651598973,lora,3,mean_error,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,pos,5G NR Positioning,,,,,,,,,0.0012872837911823958,9.891927316519539e-05,1.5050981044769287,0.06843809651598973,1.5050981044769287,0.06843809651598973,1.042258381843567,0.06928497836990613,1.042258381843567,0.06928497836990613,,,1.9780598084131877,0.11961758138431641,1.9780598084131877,0.11961758138431641,3.274747053782145,0.15255386900065684,3.274747053782145,0.15255386900065684,,,,,1.3742592732111614,0.03386508510053192,1.3742592732111614,0.03386508510053192
90.12279001871745,0.052464288144120394,lp,3,pca,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,radcom,RADCOM Signal Classification,90.13609644168268,0.0225093507706928,99.97266317252058,0.0019049900105027598,,,,,0.22541918449160772,0.0005623477016955105,,,,,,,,,90.15432098765433,0.024764735179100637,,,,,,,,,90.12279001871745,0.052464288144120394,94.72310405643738,0.03026631799247098,,,,
94.6147944132487,0.052184023980090005,ft2,3,pca,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,radcom,RADCOM Signal Classification,94.6196355273624,0.06183886059176795,99.95002943394395,0.008590038898253629,,,,,0.15038309624498555,0.0004849026058748568,,,,,,,,,94.62110523221634,0.0631167188342777,,,,,,,,,94.6147944132487,0.052184023980090005,97.23221634332747,0.045800703018677995,,,,
94.06545766194661,0.3188111546575394,lora,3,pca,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,radcom,RADCOM Signal Classification,94.06995887554513,0.3015944585599658,99.987360427381,0.001099840501698095,,,,,0.13938347164915985,0.007705322061021254,,,,,,,,,94.07760141093475,0.3009686956145216,,,,,,,,,94.06545766194661,0.3188111546575394,96.88242210464432,0.19017838398255738,,,,
1.4410789807637532,0.018744013797438182,lp,3,mean_error,20260403_004122-ngwn06,/home/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/20260403_004122-ngwn06,uwb-indoor,UWB Indoor Positioning,,,,,,,,,0.08474799402152437,0.002050154068066647,1.4410789807637532,0.018744013797438182,1.4410789807637532,0.018744013797438182,1.249662717183431,0.014138719393669659,1.249662717183431,0.014138719393669659,,,1.904204289118449,0.02920528741453597,1.904204289118449,0.02920528741453597,2.674673398335775,0.026934501977832242,2.674673398335775,0.026934501977832242,,,,,0.9482231140136719,0.016076313880078397,0.9482231140136719,0.016076313880078397
