Subset %,Subset Label,Session Root,Launch Script,Tracker Command,Status
1%,1pct,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/experiments/modulation_subset_study_20260424/commands/launch_1pct.sh,/home/<user>/wavesfm_vivor4_m2/.venv/bin/python phase2_vivor4/scripts/wait_for_radcom_and_run_next.py --session-root /local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_1pct_20260424_ngwn06 --tasks rml radcom --modes lp ft2 lora --seeds 0 1 2 --num-workers 4 --save-every 5 --train-subset-fraction 0.01,planned
3%,3pct,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/experiments/modulation_subset_study_20260424/commands/launch_3pct.sh,/home/<user>/wavesfm_vivor4_m2/.venv/bin/python phase2_vivor4/scripts/wait_for_radcom_and_run_next.py --session-root /local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06 --tasks rml radcom --modes lp ft2 lora --seeds 0 1 2 --num-workers 4 --save-every 5 --train-subset-fraction 0.03,planned
5%,5pct,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_5pct_20260424_ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/experiments/modulation_subset_study_20260424/commands/launch_5pct.sh,/home/<user>/wavesfm_vivor4_m2/.venv/bin/python phase2_vivor4/scripts/wait_for_radcom_and_run_next.py --session-root /local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_5pct_20260424_ngwn06 --tasks rml radcom --modes lp ft2 lora --seeds 0 1 2 --num-workers 4 --save-every 5 --train-subset-fraction 0.05,planned
10%,10pct,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/experiments/modulation_subset_study_20260424/commands/launch_10pct.sh,/home/<user>/wavesfm_vivor4_m2/.venv/bin/python phase2_vivor4/scripts/wait_for_radcom_and_run_next.py --session-root /local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06 --tasks rml radcom --modes lp ft2 lora --seeds 0 1 2 --num-workers 4 --save-every 5 --train-subset-fraction 0.1,planned
50%,50pct,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_50pct_20260424_ngwn06,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/experiments/modulation_subset_study_20260424/commands/launch_50pct.sh,/home/<user>/wavesfm_vivor4_m2/.venv/bin/python phase2_vivor4/scripts/wait_for_radcom_and_run_next.py --session-root /local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_50pct_20260424_ngwn06 --tasks rml radcom --modes lp ft2 lora --seeds 0 1 2 --num-workers 4 --save-every 5 --train-subset-fraction 0.5,planned
