best_metric.mean,best_metric.std,experiment_kind,experiment_label,mode,n_seeds,primary_metric,task,train_subset_fraction,train_subset_percent,train_subset_size,val.acc1.mean,val.acc1.std,val.acc3.mean,val.acc3.std,val.loss.mean,val.loss.std,val.mod_acc.mean,val.mod_acc.std,val.pca.mean,val.pca.std,val.sig_acc.mean,val.sig_acc.std
85.67777252197266,0.7146555126389386,train_subset_study,5% subset,ft2,3,pca,radcom,0.05,5.0,,85.68959439214295,0.7253292380545943,99.77131103120924,0.06577929716056774,0.32662141747785833,0.007105608896080183,85.71898883009995,0.7247086959546567,85.67777252197266,0.7146555126389386,93.98589065255732,0.04860498687661312
85.3748270670573,0.24165818032456227,train_subset_study,5% subset,lora,3,pca,radcom,0.05,5.0,,85.38183424207898,0.20400060042653378,99.84185777470198,0.009397036511349762,0.3220684103927915,0.004704767496479214,85.43533215755438,0.2160575810191919,85.3748270670573,0.24165818032456227,93.76455026455027,0.14123119380993648
84.42392476399739,0.26161441591052126,train_subset_study,5% subset,lp,3,pca,radcom,0.05,5.0,,84.44150502486904,0.22643898653747058,99.86978250242275,0.00603839633236012,0.3411411699479219,0.0017156322476061248,84.57524985302763,0.23295709326649117,84.42392476399739,0.26161441591052126,92.6360964138742,0.0180770039524086
38.264703114827476,0.038844665766238885,train_subset_study,5% subset,ft2,3,pca,rml,0.05,5.0,,38.37265512705881,0.04739167070503411,64.43795094785924,0.08834039245294933,1.8118345306514836,0.04988074147231012,,,38.264703114827476,0.038844665766238885,,
40.00983683268229,0.053888946774433656,train_subset_study,5% subset,lora,3,pca,rml,0.05,5.0,,40.089826847533296,0.059297087415453135,66.121933630741,0.2643298392844564,1.7592108721340889,0.08721806148733673,,,40.00983683268229,0.053888946774433656,,
38.06877772013346,0.1062202792834426,train_subset_study,5% subset,lp,3,pca,rml,0.05,5.0,,38.14538240198793,0.1262368536261617,64.43290043730413,0.1722944678312022,1.6966650991866425,0.00506144941181847,,,38.06877772013346,0.1062202792834426,,
