best_epoch,best_key,best_metric,experiment_kind,experiment_label,mode,primary_metric,run_dir,seed,status,task,train.acc1,train.loss,train_subset_fraction,train_subset_percent,train_subset_size,val.acc1,val.acc3,val.loss,val.mod_acc,val.pca,val.sig_acc
46,pca,87.83867645263672,train_subset_study,10% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/radcom/ft2/s0,0,ok,radcom,88.94708806818181,0.20827734199437228,0.1,10.0,,87.86948858190466,99.78483246764598,0.28163353231428373,87.91534391534391,87.83867645263672,94.33509700176367
48,pca,87.3899917602539,train_subset_study,10% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/radcom/ft2/s1,1,ok,radcom,89.17125355113636,0.20898998257788745,0.1,10.0,,87.42328042328042,99.81481486594656,0.2778912604780214,87.4373897707231,87.3899917602539,94.12433862433862
49,pca,90.28971099853516,train_subset_study,10% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/radcom/ft2/s2,2,ok,radcom,92.26296164772727,0.17373502322218634,0.1,10.0,,90.25044094671017,99.78130516307905,0.25119942646808724,90.27513227513228,90.28971099853516,95.00617283950618
48,pca,89.91764068603516,train_subset_study,10% subset,lora,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/radcom/lora/s0,0,ok,radcom,91.94113991477273,0.17243348265236075,0.1,10.0,,89.95943566646946,99.70899474128844,0.2511782996616666,89.98148148148148,89.91764068603516,94.70811287477954
47,pca,87.67155456542969,train_subset_study,10% subset,lora,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/radcom/lora/s1,1,ok,radcom,89.3310546875,0.21026211502877148,0.1,10.0,,87.71428572505029,99.8924162768813,0.2705813063053017,87.74955908289242,87.67155456542969,93.9620811287478
48,pca,88.50125885009766,train_subset_study,10% subset,lora,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/radcom/lora/s2,2,ok,radcom,90.1700106534091,0.20071196962486615,0.1,10.0,,88.45943566377832,99.90652558664796,0.25150345582600414,88.48148148148148,88.50125885009766,94.25925925925925
41,pca,85.81443786621094,train_subset_study,10% subset,lp,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/radcom/lp/s0,0,ok,radcom,85.46697443181819,0.3072983405806802,0.1,10.0,,85.89065260037754,99.91093476041495,0.3209537727450147,85.96560846560847,85.81443786621094,93.07407407407408
39,pca,85.4458999633789,train_subset_study,10% subset,lp,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/radcom/lp/s1,1,ok,radcom,85.68892045454545,0.3057613196698102,0.1,10.0,,85.49647267390391,99.92416230862733,0.32106818554893374,85.58024691358025,85.4458999633789,93.17724867724868
34,pca,85.69416046142578,train_subset_study,10% subset,lp,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/radcom/lp/s2,2,ok,radcom,85.40261008522727,0.3112423690882596,0.1,10.0,,85.64285714285714,99.91358029535418,0.3233048753343141,85.73985890652557,85.69416046142578,93.18694885361552
9,pca,41.42225646972656,train_subset_study,10% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_10pct_20260424_ngwn06/local_results/by_task/rml/ft2/s0,0,ok,rml,69.21115451388889,0.785925461186303,0.1,10.0,,41.46861472191749,66.1948051948052,2.1630092679473747,,41.42225646972656,
