Mode,What Trains,What Stays Frozen,Frozen Blocks,LoRA Rank,LoRA Alpha,RML Total Params,RML Trainable Params,RML Trainable %,RADCOM Total Params,RADCOM Trainable Params,RADCOM Trainable %,Checkpoint Used,Checkpoint Selection Metric,Notes
LP,"Task head, IQ tokenizer/input projection, conditional LN",All shared encoder blocks,8 / 8,,,"6,335,243","17,163",0.271,"6,334,729","16,649",0.263,/home/<user>/wavesfm_vivor4_m2/checkpoints/wavesfm-v1p0.pth,best validation pca,Linear-probe style transfer with frozen encoder features.
FT2,"Last 2 encoder blocks, task head, IQ tokenizer/input projection, conditional LN",First 6 shared encoder blocks,6 / 8,,,"6,335,243","1,596,683",25.203,"6,334,729","1,596,169",25.197,/home/<user>/wavesfm_vivor4_m2/checkpoints/wavesfm-v1p0.pth,best validation pca,Partial fine-tuning with limited backbone adaptation.
LoRA,"LoRA adapters on q/v projections, task head, IQ tokenizer/input projection, conditional LN",Base shared encoder weights,8 / 8 base blocks,32,64,"6,597,387","279,307",4.234,"6,596,873","278,793",4.226,/home/<user>/wavesfm_vivor4_m2/checkpoints/wavesfm-v1p0.pth,best validation pca,Parameter-efficient adaptation; base encoder stays frozen.
