best_epoch,best_key,best_metric,experiment_kind,experiment_label,mode,primary_metric,run_dir,seed,status,task,train.acc1,train.loss,train_subset_fraction,train_subset_percent,train_subset_size,val.acc1,val.acc3,val.loss,val.mod_acc,val.pca,val.sig_acc
39,pca,84.14342498779297,train_subset_study,3% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/radcom/ft2/s0,0,ok,radcom,85.40852864583333,0.2755701740582784,0.03,3.0,,84.10405643738977,99.80599652379489,0.3471778021960452,84.23280423280423,84.14342498779297,93.45767195767196
41,pca,83.76602935791016,train_subset_study,3% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/radcom/ft2/s1,1,ok,radcom,85.107421875,0.2823166847229004,0.03,3.0,,83.83686067288515,99.88888892118263,0.3368721544322093,83.84744268077601,83.76602935791016,93.61640211640211
42,pca,83.61204528808594,train_subset_study,3% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/radcom/ft2/s2,2,ok,radcom,84.9365234375,0.28150927027066547,0.03,3.0,,83.57495592174496,99.86684308464145,0.33702711596060053,83.6384479717813,83.61204528808594,93.64197530864197
49,pca,84.23348236083984,train_subset_study,3% subset,lora,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/radcom/lora/s0,0,ok,radcom,85.70963541666667,0.2742186139027278,0.03,3.0,,84.26190476459591,99.9197531375515,0.322852116600336,84.33068783068784,84.23348236083984,93.3236331569665
48,pca,83.654296875,train_subset_study,3% subset,lora,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/radcom/lora/s1,1,ok,radcom,84.97721354166667,0.2934216459592183,0.03,3.0,,83.72134039338934,99.94797179745198,0.3258035207404451,83.7636684303351,83.654296875,93.25132275132275
46,pca,84.20896911621094,train_subset_study,3% subset,lora,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/radcom/lora/s2,2,ok,radcom,85.70963541666667,0.2790582577387492,0.03,3.0,,84.1895943912459,99.8774250925323,0.32822474976275545,84.2557319223986,84.20896911621094,93.57936507936508
34,pca,83.37036895751953,train_subset_study,3% subset,lp,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/radcom/lp/s0,0,ok,radcom,83.84602864583333,0.3441424717505773,0.03,3.0,,83.3245149938728,99.66931219891475,0.3687716346295843,83.58024691358025,83.37036895751953,91.97795414462081
42,pca,83.25819396972656,train_subset_study,3% subset,lp,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/radcom/lp/s1,1,ok,radcom,84.16341145833333,0.3391004850467046,0.03,3.0,,83.34038802589268,99.74426810989515,0.36561710422211435,83.53086419753086,83.25819396972656,92.0546737213404
44,pca,83.4630126953125,train_subset_study,3% subset,lp,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/radcom/lp/s2,2,ok,radcom,84.48893229166667,0.34009696046511334,0.03,3.0,,83.40299825247844,99.75661378890749,0.36301837385436636,83.61728395061728,83.4630126953125,91.93386243386243
8,pca,36.425880432128906,train_subset_study,3% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/rml/ft2/s0,0,ok,rml,52.587890625,1.2773654460906982,0.03,3.0,,36.428571438479736,62.319264075869604,1.9291370931435456,,36.425880432128906,
8,pca,36.0847053527832,train_subset_study,3% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/rml/ft2/s1,1,ok,rml,52.51953125,1.2442827463150024,0.03,3.0,,36.217532474138004,62.583333333333336,1.8681737244387209,,36.0847053527832,
7,pca,36.198692321777344,train_subset_study,3% subset,ft2,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/rml/ft2/s2,2,ok,rml,47.626953125,1.4040029525756836,0.03,3.0,,36.28787878787879,62.803030316241376,1.7892454809337468,,36.198692321777344,
10,pca,38.07990646362305,train_subset_study,3% subset,lora,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/rml/lora/s0,0,ok,rml,54.78515625,1.2083640336990356,0.03,3.0,,38.12445888436718,64.88852814513368,1.7888832125725684,,38.07990646362305,
10,pca,38.08240509033203,train_subset_study,3% subset,lora,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/rml/lora/s1,1,ok,rml,51.97265625,1.2663909912109375,0.03,3.0,,38.16558442218995,64.71212121212122,1.7612541595269076,,38.08240509033203,
12,pca,38.038917541503906,train_subset_study,3% subset,lora,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/rml/lora/s2,2,ok,rml,54.1796875,1.203974962234497,0.03,3.0,,38.10822511813341,64.6190476322587,1.8277770137993288,,38.038917541503906,
36,pca,36.126319885253906,train_subset_study,3% subset,lp,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/rml/lp/s0,0,ok,rml,46.005859375,1.5101680517196656,0.03,3.0,,36.20129870460147,62.887445900656964,1.764708380368881,,36.126319885253906,
43,pca,36.131324768066406,train_subset_study,3% subset,lp,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/rml/lp/s1,1,ok,rml,45.64453125,1.5138290643692016,0.03,3.0,,36.24134199794753,62.58766233766234,1.7752860454460244,,36.131324768066406,
48,pca,36.507930755615234,train_subset_study,3% subset,lp,pca,/local/data0/maheenfs/wavesfm_vivor4_m2/phase2_vivor4/runs/modulation_subset_3pct_20260424_ngwn06/local_results/by_task/rml/lp/s2,2,ok,rml,45.859375,1.5213127851486206,0.03,3.0,,36.55411256071809,63.00324675985229,1.756592944256671,,36.507930755615234,
