bundle_json_path,delta_local_minus_official,local_primary_mean,local_primary_std,local_run_count,local_runs_json_path,local_summary_json_path,mode,official_payload_pointer,official_primary,official_source_updated,official_source_url,official_split,official_task_json_path,primary_metric,session_name,session_root,status,task,task_name
/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/comparisons/by_task/sensing/lp.json,-0.5311068725585955,93.8888931274414,1.9934313364841592,3,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_runs.json,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.sensing.modes.lp,94.42,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/sensing.json,pca,second_try_sensing_deepmimo_20260415_005633-ngwn06,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06,ok,sensing,Human Activity Sensing
/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/comparisons/by_task/sensing/ft2.json,-0.8377760823567684,98.47222391764323,0.8561695741413852,3,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_runs.json,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.sensing.modes.ft2,99.31,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/sensing.json,pca,second_try_sensing_deepmimo_20260415_005633-ngwn06,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06,ok,sensing,Human Activity Sensing
/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/comparisons/by_task/sensing/lora.json,0.8355572509765636,99.30555725097656,0.7081963234176532,3,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_runs.json,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.sensing.modes.lora,98.47,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/sensing.json,pca,second_try_sensing_deepmimo_20260415_005633-ngwn06,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06,ok,sensing,Human Activity Sensing
/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/comparisons/by_task/deepmimo-los/lp.json,0.09742655436198788,95.11742655436198,0.6099305709219068,3,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_runs.json,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.deepmimo-los.modes.lp,95.02,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-los.json,pca,second_try_sensing_deepmimo_20260415_005633-ngwn06,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06,ok,deepmimo-los,LOS/NLOS Classification
/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/comparisons/by_task/deepmimo-los/ft2.json,-0.0968382771809786,95.36316172281902,0.3904383216443845,3,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_runs.json,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.deepmimo-los.modes.ft2,95.46,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-los.json,pca,second_try_sensing_deepmimo_20260415_005633-ngwn06,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06,ok,deepmimo-los,LOS/NLOS Classification
/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/comparisons/by_task/deepmimo-los/lora.json,-0.08081776936847973,95.15918223063152,0.39337098079096505,3,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_runs.json,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.deepmimo-los.modes.lora,95.24,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-los.json,pca,second_try_sensing_deepmimo_20260415_005633-ngwn06,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06,ok,deepmimo-los,LOS/NLOS Classification
/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/comparisons/by_task/deepmimo-beam/lp.json,-11.295272115071619,56.37472788492838,0.6402245644701395,3,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_runs.json,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_aggregated.json,lp,official_results_all.json#tasks.deepmimo-beam.modes.lp,67.67,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-beam.json,pca,second_try_sensing_deepmimo_20260415_005633-ngwn06,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06,ok,deepmimo-beam,Beam Prediction
/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/comparisons/by_task/deepmimo-beam/ft2.json,-8.943924153645824,69.43607584635417,0.147263680549439,3,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_runs.json,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_aggregated.json,ft2,official_results_all.json#tasks.deepmimo-beam.modes.ft2,78.38,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-beam.json,pca,second_try_sensing_deepmimo_20260415_005633-ngwn06,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06,ok,deepmimo-beam,Beam Prediction
/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/comparisons/by_task/deepmimo-beam/lora.json,-9.54088358561198,67.83911641438802,0.41845948689542806,3,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_runs.json,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06/local_results/summaries/local_results_aggregated.json,lora,official_results_all.json#tasks.deepmimo-beam.modes.lora,77.38,2026-01-23,https://waveslab.ai/detailed-eval/,20% split,/home/<user>/wavesfm_vivor4_m2/phase2_vivor4/official_results/by_task/deepmimo-beam.json,pca,second_try_sensing_deepmimo_20260415_005633-ngwn06,/local/data0/<user>/wavesfm_vivor4_m2/phase2_vivor4/runs/second_try_sensing_deepmimo_20260415_005633-ngwn06,ok,deepmimo-beam,Beam Prediction
